Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
"C10, C14, C15, C4, C5, C6, C7, C8",0603,8,0.1uF,
"C11, C3",0603,2,4.7uF,
"C12, C13",0603,2,15pF,
C2,0603,1,22uF,
C9,0603,1,1uF,
"D1, D2, D3",0603,3,LED,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,電源コネクタ,
J2,PinSocket_1x05_P2.54mm_Horizontal,1,デバッグ端子,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,CANコネクタ,
"R1, R2, R3, R5, R6",0603,5,1kΩ,
R4,0603,1,10kΩ,
SW1,SW_PUSH_6mm_H5mm,1,リセットスイッチ,
U1,SOT-223-3_TabPin2,1,AZ1117-3.3,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
